split,cohort,model,c_index
50,TCGA_test,M2EFM_Molecular,0.658644711842939
50,TCGA_test,M2EFM_ExpClin,0.773907536415453
50,TCGA_test,Clinical,0.777707409753008
50,Kao,M2EFM_Molecular,0.687248067529758
50,Kao,M2EFM_ExpClin,0.704415042443211
50,Kao,Clinical,0.59631526532935
50,Terunuma,M2EFM_Molecular,0.63476733977173
50,Terunuma,M2EFM_ExpClin,0.690079016681299
50,Terunuma,Clinical,0.659350307287094
51,TCGA_test,M2EFM_Molecular,0.680566085418246
51,TCGA_test,M2EFM_ExpClin,0.741470811220622
51,TCGA_test,Clinical,0.751832196108163
51,Kao,M2EFM_Molecular,0.692701664532651
51,Kao,M2EFM_ExpClin,0.707687200644947
51,Kao,Clinical,0.64952340304453
51,Terunuma,M2EFM_Molecular,0.650570676031607
51,Terunuma,M2EFM_ExpClin,0.699736611062335
51,Terunuma,Clinical,0.662862159789289
52,TCGA_test,M2EFM_Molecular,0.643154486586494
52,TCGA_test,M2EFM_ExpClin,0.721322849213691
52,TCGA_test,Clinical,0.740518038852914
52,Kao,M2EFM_Molecular,0.705078958600085
52,Kao,M2EFM_ExpClin,0.72817375634277
52,Kao,Clinical,0.630364679660454
52,Terunuma,M2EFM_Molecular,0.672519754170325
52,Terunuma,M2EFM_ExpClin,0.690079016681299
52,Terunuma,Clinical,0.655838454784899
53,TCGA_test,M2EFM_Molecular,0.686240520043337
53,TCGA_test,M2EFM_ExpClin,0.757746478873239
53,TCGA_test,Clinical,0.723618634886241
53,Kao,M2EFM_Molecular,0.703798548868971
53,Kao,M2EFM_ExpClin,0.712666571821501
53,Kao,Clinical,0.625432731066534
53,Terunuma,M2EFM_Molecular,0.619841966637401
53,Terunuma,M2EFM_ExpClin,0.692712906057946
53,Terunuma,Clinical,0.66198419666374
54,TCGA_test,M2EFM_Molecular,0.642139737991266
54,TCGA_test,M2EFM_ExpClin,0.710698689956332
54,TCGA_test,Clinical,0.708733624454148
54,Kao,M2EFM_Molecular,0.677573860672452
54,Kao,M2EFM_ExpClin,0.695689287238583
54,Kao,Clinical,0.601104946175369
54,Terunuma,M2EFM_Molecular,0.664618086040386
54,Terunuma,M2EFM_ExpClin,0.692712906057946
54,Terunuma,Clinical,0.659350307287094
55,TCGA_test,M2EFM_Molecular,0.642718983144515
55,TCGA_test,M2EFM_ExpClin,0.75656258634982
55,TCGA_test,Clinical,0.768858800773694
55,Kao,M2EFM_Molecular,0.680608905961019
55,Kao,M2EFM_ExpClin,0.723384075496752
55,Kao,Clinical,0.649381135296628
55,Terunuma,M2EFM_Molecular,0.604916593503073
55,Terunuma,M2EFM_ExpClin,0.68305531167691
55,Terunuma,Clinical,0.660228270412643
56,TCGA_test,M2EFM_Molecular,0.635073068893528
56,TCGA_test,M2EFM_ExpClin,0.735073068893528
56,TCGA_test,Clinical,0.761064718162839
56,Kao,M2EFM_Molecular,0.695309906577512
56,Kao,M2EFM_ExpClin,0.702518139137857
56,Kao,Clinical,0.58412766159245
56,Terunuma,M2EFM_Molecular,0.670763827919227
56,Terunuma,M2EFM_ExpClin,0.693590869183494
56,Terunuma,Clinical,0.656716417910448
57,TCGA_test,M2EFM_Molecular,0.665610700457585
57,TCGA_test,M2EFM_ExpClin,0.7419922562478
57,TCGA_test,Clinical,0.74991200281591
57,Kao,M2EFM_Molecular,0.710864513681415
57,Kao,M2EFM_ExpClin,0.731635604875042
57,Kao,Clinical,0.623867785839617
57,Terunuma,M2EFM_Molecular,0.63476733977173
57,Terunuma,M2EFM_ExpClin,0.688323090430202
57,Terunuma,Clinical,0.655838454784899
58,TCGA_test,M2EFM_Molecular,0.599736234751072
58,TCGA_test,M2EFM_ExpClin,0.73821299043851
